,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,4,police,police
5,5,5,5,pensais,thought
6,6,6,6,aide,help
7,7,7,7,demande,request
8,8,8,8,genre,kind
9,9,9,10,frère,brother
10,10,10,11,laisser,let
11,11,11,12,car,because
12,12,12,13,mettre,to put
13,13,13,14,aucun,no
14,14,14,15,laisse,leash
15,15,15,16,eux,them
16,16,16,17,ville,city
17,17,17,18,chaque,each
18,18,19,20,arrivé,come
19,19,20,21,devrait,should
20,20,21,22,bébé,baby
21,21,22,23,longtemps,long time
22,22,23,24,heures,hours
23,23,24,25,vont,will
24,24,25,26,pendant,while
25,25,26,27,revoir,meet again
26,26,27,28,aucune,any
27,27,28,29,place,square
28,28,29,30,parle,speak
29,29,30,31,compris,understood
30,30,31,32,savais,knew
31,31,33,34,attention,Warning
32,32,34,35,voici,here is
33,33,35,36,pourrais,could
34,34,36,37,affaire,case
35,35,37,38,donner,give
36,36,38,39,type,type
37,37,39,40,leurs,their
38,38,40,41,donné,given
39,39,41,42,train,train
40,40,42,43,corps,body
41,41,43,44,endroit,place
42,42,44,45,yeux,eyes
43,43,45,46,façon,way
44,44,46,47,écoute,listen
45,45,47,48,dont,whose
46,46,48,49,trouve,find
47,47,49,50,premier,first
48,48,50,51,perdu,lost
49,49,51,52,main,hand
50,50,52,53,première,first
51,51,53,54,pouvoir,power
52,52,54,55,vieux,old
53,53,55,56,sois,be
54,54,56,57,tiens,here
55,55,57,58,matin,morning
56,56,58,59,tellement,so much
57,57,59,60,enfant,child
58,58,60,61,point,point
59,59,61,62,venu,came
60,60,62,63,suite,after
61,61,63,64,pardon,sorry
62,62,64,65,venez,come
63,63,65,66,devant,in front of
64,64,66,67,vers,towards
65,65,67,68,minutes,minutes
66,66,68,69,demandé,request
67,67,69,70,chambre,bedroom
68,68,70,71,mis,placed
69,69,71,72,belle,beautiful
70,70,72,73,droit,law
71,71,73,74,aimerais,would like to
72,72,74,75,aujourd'hui,today
73,73,75,76,mari,husband
74,74,76,77,cause,cause
75,75,77,78,enfin,finally
76,76,78,79,espère,hope
77,77,79,80,eau,water
78,78,80,81,attendez,Wait
79,79,81,82,parti,left
80,80,82,83,nouvelle,new
81,81,83,84,boulot,job
82,82,84,85,arrêter,Stop
83,84,86,87,terre,Earth
84,85,87,88,donne,given
85,86,88,89,loin,far
86,87,89,90,fin,end
87,88,90,91,croire,believe
88,89,91,92,chérie,sweetheart
89,90,92,93,gros,large
90,91,93,94,plutôt,rather
91,92,94,95,aura,will have
92,93,95,96,filles,girls
93,94,96,97,jouer,to play
94,95,97,98,bureau,office
